Source,Year,Month,Day,Time of Day,Station,Tide,Hooks,Species Code,Common Name,Latin name,Longline used,Fork length,Total length,Sex,Status,Notes
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,112,,U,DEAD,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,121.9,,U,,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,137.1,,U,,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,170,,M,DEAD,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,121.9,,U,,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,140,,M,DEAD,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,160,,M,DEAD,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,175,,M,DEAD,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,121.9,,U,,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,152.4,,U,,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,170,,U,DEAD,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,150,,M,DEAD,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,140,,U,DEAD,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,137,,U,DEAD,
UNC,1973,7,3,1000,NS,F,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,115,,U,DEAD,
UNC,1973,7,3,1000,NS,F,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,150,,U,DEAD,
UNC,1973,7,3,1000,NS,F,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,129,,U,DEAD,
UNC,1973,7,3,1000,NS,F,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,144,,U,DEAD,
